started_at,2008-01-03 00:00:00+02:00
completed_at,2009-04-01 07:00:51.811205+02:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
resource_role_3_14,ROLE 3_14,2.2688601921723575e-05,177,890.5366512077205,39250397.811205,default_profile,Default profile
resource_role_3_15,ROLE 3_15,2.2349639921419696e-05,177,877.2322578529115,39250397.811205,default_profile,Default profile
resource_role_3_16,ROLE 3_16,2.2591450809612094e-05,177,886.723431409544,39250397.811205,default_profile,Default profile
resource_role_3_17,ROLE 3_17,2.2696362970059415e-05,177,890.8412754423343,39250397.811205,default_profile,Default profile
resource_role_3_18,ROLE 3_18,2.2378416109970324e-05,177,878.3617347010139,39250397.811205,default_profile,Default profile
resource_role_3_19,ROLE 3_19,2.237110958605803e-05,177,878.0749507308392,39250397.811205,default_profile,Default profile
resource_role_3_20,ROLE 3_20,2.2597686577712903e-05,177,886.9681877881592,39250397.811205,default_profile,Default profile
resource_role_3_21,ROLE 3_21,2.247781155180128e-05,177,882.2630453334995,39250397.811205,default_profile,Default profile
resource_role_3_22,ROLE 3_22,2.2603784304433153e-05,176,887.207525987673,39250397.811205,default_profile,Default profile
resource_role_3_23,ROLE 3_23,2.257355094026524e-05,176,886.0208544169113,39250397.811205,default_profile,Default profile
resource_role_3_24,ROLE 3_24,2.2440748690846484e-05,176,880.8083132970023,39250397.811205,default_profile,Default profile
resource_role_3_25,ROLE 3_25,2.2364159779337352e-05,176,877.8021680523417,39250397.811205,default_profile,Default profile
resource_role_3_26,ROLE 3_26,2.2585640633804585e-05,176,886.4953796977462,39250397.811205,default_profile,Default profile
resource_role_3_27,ROLE 3_27,2.228494465857622e-05,176,874.6929430498046,39250397.811205,default_profile,Default profile
resource_role_3_28,ROLE 3_28,2.2415378163676173e-05,176,879.8125100128876,39250397.811205,default_profile,Default profile
resource_role_3_29,ROLE 3_29,2.254888098096124e-05,176,885.052548700243,39250397.811205,default_profile,Default profile
resource_role_3_30,ROLE 3_30,2.2067171073995326e-05,176,866.1452432222325,39250397.811205,default_profile,Default profile
resource_role_3_31,ROLE 3_31,2.2299090743371643e-05,176,875.248182505496,39250397.811205,default_profile,Default profile
resource_role_4_0,ROLE 4_0,0.897454610394929,92,35225450.475500956,39250397.811205,default_profile,Default profile
resource_role_4_1,ROLE 4_1,0.8950688278571616,93,35131807.56180256,39250397.811205,default_profile,Default profile
resource_role_4_2,ROLE 4_2,0.8936863055302006,91,35077543.01048647,39250397.811205,default_profile,Default profile
resource_role_4_3,ROLE 4_3,0.8920353392108282,91,35012741.9256782,39250397.811205,default_profile,Default profile
resource_role_4_4,ROLE 4_4,0.8909779533266322,93,34971239.109083556,39250397.811205,default_profile,Default profile
resource_role_4_5,ROLE 4_5,0.8898857079769198,91,34928368.044599906,39250397.811205,default_profile,Default profile
resource_role_4_6,ROLE 4_6,0.8995930817988971,92,35309386.32881459,39250397.811205,default_profile,Default profile
resource_role_4_7,ROLE 4_7,0.8946865091258573,93,35116801.39950819,39250397.811205,default_profile,Default profile
resource_role_4_8,ROLE 4_8,0.897009412508962,93,35207976.28137205,39250397.811205,default_profile,Default profile
resource_role_4_9,ROLE 4_9,0.8952310806991559,92,35138176.05039684,39250397.811205,default_profile,Default profile
resource_role_4_10,ROLE 4_10,0.8984448696328368,91,35264318.54452506,39250397.811205,default_profile,Default profile
resource_role_4_11,ROLE 4_11,0.8881396932387741,92,34859836.27154346,39250397.811205,default_profile,Default profile
resource_role_4_12,ROLE 4_12,0.89706020422044,92,35209969.87625307,39250397.811205,default_profile,Default profile
resource_role_4_13,ROLE 4_13,0.8909567281104372,92,34970406.010904275,39250397.811205,default_profile,Default profile
resource_role_4_14,ROLE 4_14,0.8985098170073962,93,35266867.754813306,39250397.811205,default_profile,Default profile
resource_role_4_15,ROLE 4_15,0.895002651558674,91,35129210.11576125,39250397.811205,default_profile,Default profile
resource_role_4_16,ROLE 4_16,0.8878169372303092,89,34847167.969815254,39250397.811205,default_profile,Default profile
resource_role_4_17,ROLE 4_17,0.8958084248480358,92,35160837.03791434,39250397.811205,default_profile,Default profile
resource_role_4_18,ROLE 4_18,0.8941738666514985,93,35096679.97845469,39250397.811205,default_profile,Default profile
resource_role_4_19,ROLE 4_19,0.8916579207808141,91,34997928.10215887,39250397.811205,default_profile,Default profile
resource_role_4_20,ROLE 4_20,0.8839333350631522,91,34694735.03981388,39250397.811205,default_profile,Default profile
resource_role_4_21,ROLE 4_21,0.8960033776312962,92,35168489.01221172,39250397.811205,default_profile,Default profile
resource_role_4_22,ROLE 4_22,0.8961892432065303,91,35175784.30997906,39250397.811205,default_profile,Default profile
resource_role_4_23,ROLE 4_23,0.8856503203815735,92,34762127.39659792,39250397.811205,default_profile,Default profile
resource_role_4_24,ROLE 4_24,0.8874066576517349,91,34831064.3331424,39250397.811205,default_profile,Default profile
resource_role_4_25,ROLE 4_25,0.883132390861822,91,34663297.6612871,39250397.811205,default_profile,Default profile
resource_role_4_26,ROLE 4_26,0.890742741268939,91,34962006.942249104,39250397.811205,default_profile,Default profile
resource_role_4_27,ROLE 4_27,0.8947302362592364,92,35118517.70688847,39250397.811205,default_profile,Default profile
resource_role_4_28,ROLE 4_28,0.8899668052376359,92,34931551.14434441,39250397.811205,default_profile,Default profile
resource_role_4_29,ROLE 4_29,0.8897277452870855,92,34922167.94618458,39250397.811205,default_profile,Default profile
resource_role_4_30,ROLE 4_30,0.8892022261556666,91,34901541.11121899,39250397.811205,default_profile,Default profile
resource_role_4_31,ROLE 4_31,0.8852035766662159,92,34744592.528050475,39250397.811205,default_profile,Default profile
resource_role_4_32,ROLE 4_32,0.8919226034429025,92,35008317.001939565,39250397.811205,default_profile,Default profile
resource_role_4_33,ROLE 4_33,0.8929549972123912,93,35048838.86808981,39250397.811205,default_profile,Default profile
resource_role_4_34,ROLE 4_34,0.889970443830907,90,34931693.96057777,39250397.811205,default_profile,Default profile
resource_role_4_35,ROLE 4_35,0.8905432360380378,92,34954176.28257082,39250397.811205,default_profile,Default profile
resource_role_4_36,ROLE 4_36,0.886185228397462,92,34783122.749013945,39250397.811205,default_profile,Default profile
resource_role_4_37,ROLE 4_37,0.884176470950838,91,34704278.22012773,39250397.811205,default_profile,Default profile
resource_role_4_38,ROLE 4_38,0.8896716066585879,92,34919964.48268347,39250397.811205,default_profile,Default profile
resource_role_4_39,ROLE 4_39,0.8852402684471984,90,34746032.69505044,39250397.811205,default_profile,Default profile
resource_role_4_40,ROLE 4_40,0.8944952259391298,90,35109293.45833454,39250397.811205,default_profile,Default profile
resource_role_4_41,ROLE 4_41,0.8926814773132193,91,35038103.10323803,39250397.811205,default_profile,Default profile
resource_role_4_42,ROLE 4_42,0.8922450018024133,92,35020971.265804045,39250397.811205,default_profile,Default profile
resource_role_4_43,ROLE 4_43,0.8931769039728529,93,35057548.796714924,39250397.811205,default_profile,Default profile
resource_role_4_44,ROLE 4_44,0.8962860369719005,91,35179583.503775485,39250397.811205,default_profile,Default profile
resource_role_4_45,ROLE 4_45,0.8891644182629517,92,34900057.136389524,39250397.811205,default_profile,Default profile
resource_role_4_46,ROLE 4_46,0.8852835224544141,91,34747730.43204059,39250397.811205,default_profile,Default profile
resource_role_4_47,ROLE 4_47,0.8895096200910898,92,34913606.445469104,39250397.811205,default_profile,Default profile
resource_role_4_48,ROLE 4_48,0.8851225641829915,93,34741412.755856246,39250397.811205,default_profile,Default profile
resource_role_4_49,ROLE 4_49,0.8898980456698576,91,34928852.303955786,39250397.811205,default_profile,Default profile
resource_role_4_50,ROLE 4_50,0.8853221634807028,92,34749247.10769425,39250397.811205,default_profile,Default profile
resource_role_4_51,ROLE 4_51,0.8811990661776701,90,34587413.89833591,39250397.811205,default_profile,Default profile
resource_role_4_52,ROLE 4_52,0.8896787715191967,91,34920245.706312634,39250397.811205,default_profile,Default profile
resource_role_4_53,ROLE 4_53,0.8801331439648854,90,34545576.02744831,39250397.811205,default_profile,Default profile
resource_role_4_54,ROLE 4_54,0.8810960289143758,89,34583369.64476223,39250397.811205,default_profile,Default profile
resource_role_4_55,ROLE 4_55,0.8823880786140867,91,34634083.10946774,39250397.811205,default_profile,Default profile
resource_role_4_56,ROLE 4_56,0.8920911883723981,92,35014934.02748724,39250397.811205,default_profile,Default profile
resource_role_4_57,ROLE 4_57,0.8848488840618315,91,34730670.7022277,39250397.811205,default_profile,Default profile
resource_role_4_58,ROLE 4_58,0.8879874094183587,93,34853859.071011946,39250397.811205,default_profile,Default profile
resource_role_4_59,ROLE 4_59,0.8867671617773619,91,34805963.86567464,39250397.811205,default_profile,Default profile
resource_role_4_60,ROLE 4_60,0.8906459956464365,93,34958209.63807939,39250397.811205,default_profile,Default profile
resource_role_4_61,ROLE 4_61,0.8895245691839929,93,34914193.203312464,39250397.811205,default_profile,Default profile
resource_role_4_62,ROLE 4_62,0.8849016179874413,93,34732740.52978603,39250397.811205,default_profile,Default profile
resource_role_4_63,ROLE 4_63,0.8815195466700274,90,34599992.88515167,39250397.811205,default_profile,Default profile
resource_role_4_64,ROLE 4_64,0.8854706542013053,90,34755075.427549176,39250397.811205,default_profile,Default profile
resource_role_4_65,ROLE 4_65,0.886650378689269,91,34801380.08300937,39250397.811205,default_profile,Default profile
resource_role_4_66,ROLE 4_66,0.8836682796088942,92,34684331.50779223,39250397.811205,default_profile,Default profile
resource_role_4_67,ROLE 4_67,0.8860853135433896,91,34779201.051244356,39250397.811205,default_profile,Default profile
resource_role_4_68,ROLE 4_68,0.8844021517209019,91,34713136.28013108,39250397.811205,default_profile,Default profile
resource_role_4_69,ROLE 4_69,0.8805719157132323,91,34562797.99311925,39250397.811205,default_profile,Default profile
