started_at,2008-01-03 00:00:00+02:00
completed_at,2009-03-31 17:58:46.913869+02:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
resource_role_3_14,ROLE 3_14,2.2663418664061508e-05,178,888.4847423956272,39203473.913869,default_profile,Default profile
resource_role_3_15,ROLE 3_15,2.243940719121085e-05,178,879.702714463319,39203473.913869,default_profile,Default profile
resource_role_3_16,ROLE 3_16,2.2643319193550866e-05,178,887.6967733277806,39203473.913869,default_profile,Default profile
resource_role_3_17,ROLE 3_17,2.2788742005359204e-05,178,893.3978527369903,39203473.913869,default_profile,Default profile
resource_role_3_18,ROLE 3_18,2.2818158756563807e-05,178,894.5510915754708,39203473.913869,default_profile,Default profile
resource_role_3_19,ROLE 3_19,2.270965304473511e-05,178,890.2972907322886,39203473.913869,default_profile,Default profile
resource_role_3_20,ROLE 3_20,2.311454903209263e-05,178,906.1706200104893,39203473.913869,default_profile,Default profile
resource_role_3_21,ROLE 3_21,2.3208615483625473e-05,178,909.8583516893275,39203473.913869,default_profile,Default profile
resource_role_3_22,ROLE 3_22,2.299693024433816e-05,177,901.5595549329761,39203473.913869,default_profile,Default profile
resource_role_3_23,ROLE 3_23,2.2675816799063226e-05,177,888.9707923577477,39203473.913869,default_profile,Default profile
resource_role_3_24,ROLE 3_24,2.265782198999792e-05,177,888.2653333299708,39203473.913869,default_profile,Default profile
resource_role_3_25,ROLE 3_25,2.2533292655450417e-05,177,883.3833508115264,39203473.913869,default_profile,Default profile
resource_role_3_26,ROLE 3_26,2.235633879734813e-05,177,876.446144851455,39203473.913869,default_profile,Default profile
resource_role_3_27,ROLE 3_27,2.2650483344537624e-05,177,887.977632934105,39203473.913869,default_profile,Default profile
resource_role_3_28,ROLE 3_28,2.259480153563578e-05,177,885.7947125913446,39203473.913869,default_profile,Default profile
resource_role_3_29,ROLE 3_29,2.2493974255486127e-05,177,881.8419329441913,39203473.913869,default_profile,Default profile
resource_role_3_30,ROLE 3_30,2.251442234473816e-05,177,882.6435690777719,39203473.913869,default_profile,Default profile
resource_role_3_31,ROLE 3_31,2.2478558870499047e-05,177,881.237596300978,39203473.913869,default_profile,Default profile
resource_role_4_0,ROLE 4_0,0.8955258486614742,92,35107724.247195505,39203473.913869,default_profile,Default profile
resource_role_4_1,ROLE 4_1,0.8994587790005544,92,35261908.7791487,39203473.913869,default_profile,Default profile
resource_role_4_2,ROLE 4_2,0.8971939977882127,93,35173121.48797004,39203473.913869,default_profile,Default profile
resource_role_4_3,ROLE 4_3,0.9006112686213932,92,35307090.37593526,39203473.913869,default_profile,Default profile
resource_role_4_4,ROLE 4_4,0.8923139283033501,91,34981805.81122236,39203473.913869,default_profile,Default profile
resource_role_4_5,ROLE 4_5,0.9031384617716933,93,35406165.126678355,39203473.913869,default_profile,Default profile
resource_role_4_6,ROLE 4_6,0.9001684630404715,91,35289730.858894676,39203473.913869,default_profile,Default profile
resource_role_4_7,ROLE 4_7,0.8968588632883299,92,35159983.05134624,39203473.913869,default_profile,Default profile
resource_role_4_8,ROLE 4_8,0.8986766370806146,92,35231246.098793395,39203473.913869,default_profile,Default profile
resource_role_4_9,ROLE 4_9,0.8878974269221994,92,34808663.61453585,39203473.913869,default_profile,Default profile
resource_role_4_10,ROLE 4_10,0.8975145100189142,93,35185686.680845425,39203473.913869,default_profile,Default profile
resource_role_4_11,ROLE 4_11,0.9054524666143022,93,35496882.15516214,39203473.913869,default_profile,Default profile
resource_role_4_12,ROLE 4_12,0.8954373721526213,93,35104255.6606887,39203473.913869,default_profile,Default profile
resource_role_4_13,ROLE 4_13,0.9042026621474195,93,35447885.478347264,39203473.913869,default_profile,Default profile
resource_role_4_14,ROLE 4_14,0.8963789422374786,93,35141168.47894848,39203473.913869,default_profile,Default profile
resource_role_4_15,ROLE 4_15,0.9002014860994466,94,35291025.47752576,39203473.913869,default_profile,Default profile
resource_role_4_16,ROLE 4_16,0.8976713600395302,93,35191835.74653703,39203473.913869,default_profile,Default profile
resource_role_4_17,ROLE 4_17,0.8981508151316531,92,35210632.05173394,39203473.913869,default_profile,Default profile
resource_role_4_18,ROLE 4_18,0.9015040937499595,93,35342092.222572654,39203473.913869,default_profile,Default profile
resource_role_4_19,ROLE 4_19,0.8919158010803536,91,34966197.84102122,39203473.913869,default_profile,Default profile
resource_role_4_20,ROLE 4_20,0.8943057202442121,92,35059890.974617794,39203473.913869,default_profile,Default profile
resource_role_4_21,ROLE 4_21,0.8961833256789014,91,35133499.63029718,39203473.913869,default_profile,Default profile
resource_role_4_22,ROLE 4_22,0.8914311748685794,91,34947198.80996995,39203473.913869,default_profile,Default profile
resource_role_4_23,ROLE 4_23,0.9025082987698972,93,35381460.547875956,39203473.913869,default_profile,Default profile
resource_role_4_24,ROLE 4_24,0.8950680102620266,91,35089775.391445994,39203473.913869,default_profile,Default profile
resource_role_4_25,ROLE 4_25,0.8966480844059062,92,35151719.78692755,39203473.913869,default_profile,Default profile
resource_role_4_26,ROLE 4_26,0.8915595152168817,91,34952230.197466716,39203473.913869,default_profile,Default profile
resource_role_4_27,ROLE 4_27,0.8893465706947025,92,34865475.08461862,39203473.913869,default_profile,Default profile
resource_role_4_28,ROLE 4_28,0.8967702595672108,92,35156509.47767668,39203473.913869,default_profile,Default profile
resource_role_4_29,ROLE 4_29,0.8969625076008813,92,35164046.26844967,39203473.913869,default_profile,Default profile
resource_role_4_30,ROLE 4_30,0.8901037126563454,93,34895157.679760985,39203473.913869,default_profile,Default profile
resource_role_4_31,ROLE 4_31,0.8930777558256635,91,35011750.50356807,39203473.913869,default_profile,Default profile
resource_role_4_32,ROLE 4_32,0.8960222414778718,93,35127184.57002418,39203473.913869,default_profile,Default profile
resource_role_4_33,ROLE 4_33,0.888699225467662,92,34840096.902897075,39203473.913869,default_profile,Default profile
resource_role_4_34,ROLE 4_34,0.8948465266358082,92,35081092.46388319,39203473.913869,default_profile,Default profile
resource_role_4_35,ROLE 4_35,0.8957471559262266,93,35116400.26077617,39203473.913869,default_profile,Default profile
resource_role_4_36,ROLE 4_36,0.8994150736529716,92,35260195.37769484,39203473.913869,default_profile,Default profile
resource_role_4_37,ROLE 4_37,0.8927897015647392,93,35000457.77586415,39203473.913869,default_profile,Default profile
resource_role_4_38,ROLE 4_38,0.8854824839352424,91,34713989.4601432,39203473.913869,default_profile,Default profile
resource_role_4_39,ROLE 4_39,0.8975652406950837,93,35187675.49958526,39203473.913869,default_profile,Default profile
resource_role_4_40,ROLE 4_40,0.8923268503153249,92,34982312.39898173,39203473.913869,default_profile,Default profile
resource_role_4_41,ROLE 4_41,0.8869629319771245,92,34772028.166333966,39203473.913869,default_profile,Default profile
resource_role_4_42,ROLE 4_42,0.8906860189864376,91,34917986.11078264,39203473.913869,default_profile,Default profile
resource_role_4_43,ROLE 4_43,0.894298962899454,92,35059626.063228846,39203473.913869,default_profile,Default profile
resource_role_4_44,ROLE 4_44,0.8880775947501638,93,34815726.819279574,39203473.913869,default_profile,Default profile
resource_role_4_45,ROLE 4_45,0.8907155130093815,92,34919142.37894173,39203473.913869,default_profile,Default profile
resource_role_4_46,ROLE 4_46,0.8929708759339188,92,35007560.44052014,39203473.913869,default_profile,Default profile
resource_role_4_47,ROLE 4_47,0.8974268878248888,92,35182251.58644767,39203473.913869,default_profile,Default profile
resource_role_4_48,ROLE 4_48,0.8869842438302632,92,34772863.665012546,39203473.913869,default_profile,Default profile
resource_role_4_49,ROLE 4_49,0.885486016380141,91,34714127.94425464,39203473.913869,default_profile,Default profile
resource_role_4_50,ROLE 4_50,0.8927650459068079,94,34999491.18842161,39203473.913869,default_profile,Default profile
resource_role_4_51,ROLE 4_51,0.8938126066288392,92,35040559.207860954,39203473.913869,default_profile,Default profile
resource_role_4_52,ROLE 4_52,0.8893522368830649,92,34865697.21888628,39203473.913869,default_profile,Default profile
resource_role_4_53,ROLE 4_53,0.8928555654421472,90,35003039.868663974,39203473.913869,default_profile,Default profile
resource_role_4_54,ROLE 4_54,0.8841426734494175,90,34661464.23471264,39203473.913869,default_profile,Default profile
resource_role_4_55,ROLE 4_55,0.892902472087075,93,35004878.772094786,39203473.913869,default_profile,Default profile
resource_role_4_56,ROLE 4_56,0.8924864616576021,92,34988569.71807505,39203473.913869,default_profile,Default profile
resource_role_4_57,ROLE 4_57,0.8948693471430859,92,35081987.10704495,39203473.913869,default_profile,Default profile
resource_role_4_58,ROLE 4_58,0.8877704441116038,92,34803685.447233155,39203473.913869,default_profile,Default profile
resource_role_4_59,ROLE 4_59,0.8894708289931301,93,34870346.44157961,39203473.913869,default_profile,Default profile
resource_role_4_60,ROLE 4_60,0.8879193987688333,92,34809524.987252206,39203473.913869,default_profile,Default profile
resource_role_4_61,ROLE 4_61,0.8917113421484635,92,34958182.3406184,39203473.913869,default_profile,Default profile
resource_role_4_62,ROLE 4_62,0.8899827842260971,91,34890416.8652003,39203473.913869,default_profile,Default profile
resource_role_4_63,ROLE 4_63,0.8879658496089495,93,34811346.021550976,39203473.913869,default_profile,Default profile
resource_role_4_64,ROLE 4_64,0.8867618039979936,92,34764143.25085076,39203473.913869,default_profile,Default profile
resource_role_4_65,ROLE 4_65,0.8857504746995136,93,34724495.62907947,39203473.913869,default_profile,Default profile
resource_role_4_66,ROLE 4_66,0.8910168984389939,92,34930957.73476956,39203473.913869,default_profile,Default profile
resource_role_4_67,ROLE 4_67,0.8882996009630763,93,34824430.234056205,39203473.913869,default_profile,Default profile
resource_role_4_68,ROLE 4_68,0.8947270370976412,92,35076408.05889068,39203473.913869,default_profile,Default profile
resource_role_4_69,ROLE 4_69,0.8903657534157424,91,34905430.58783638,39203473.913869,default_profile,Default profile
resource_role_5_0,ROLE 5_0,0.9095916848619837,32,35659153.88975893,39203473.913869,default_profile,Default profile
resource_role_5_1,ROLE 5_1,0.9322798575762206,33,36548609.07691487,39203473.913869,default_profile,Default profile
resource_role_5_2,ROLE 5_2,0.9192144219321248,33,36036398.611468226,39203473.913869,default_profile,Default profile
resource_role_5_3,ROLE 5_3,0.9100846124194696,32,35678478.362400256,39203473.913869,default_profile,Default profile
resource_role_5_4,ROLE 5_4,0.9271767957208313,32,36348551.32458626,39203473.913869,default_profile,Default profile
resource_role_5_5,ROLE 5_5,0.916721310861172,33,35938659.99663375,39203473.913869,default_profile,Default profile
resource_role_5_6,ROLE 5_6,0.9120552478116426,32,35755734.11559106,39203473.913869,default_profile,Default profile
resource_role_5_7,ROLE 5_7,0.9159932723292793,32,35910118.357040405,39203473.913869,default_profile,Default profile
resource_role_5_8,ROLE 5_8,0.909077262006179,32,35638986.726750694,39203473.913869,default_profile,Default profile
resource_role_5_9,ROLE 5_9,0.9261346150050721,31,36307694.220082454,39203473.913869,default_profile,Default profile
resource_role_5_10,ROLE 5_10,0.909638494084818,31,35660988.97390524,39203473.913869,default_profile,Default profile
resource_role_5_11,ROLE 5_11,0.9054047614912932,31,35495011.9486167,39203473.913869,default_profile,Default profile
resource_role_5_12,ROLE 5_12,0.9062651942659792,31,35528743.902453735,39203473.913869,default_profile,Default profile
resource_role_5_13,ROLE 5_13,0.9132342174605677,32,35801953.821467936,39203473.913869,default_profile,Default profile
resource_role_5_14,ROLE 5_14,0.9279519368539074,31,36378939.549776375,39203473.913869,default_profile,Default profile
resource_role_5_15,ROLE 5_15,0.9132453487386231,32,35802390.20623681,39203473.913869,default_profile,Default profile
resource_role_5_16,ROLE 5_16,0.9089975276950356,32,35635860.864763744,39203473.913869,default_profile,Default profile
resource_role_5_17,ROLE 5_17,0.9118158259742961,32,35746347.947836235,39203473.913869,default_profile,Default profile
resource_role_5_18,ROLE 5_18,0.9068330689673508,32,35551006.56349531,39203473.913869,default_profile,Default profile
resource_role_5_19,ROLE 5_19,0.9079706078421372,32,35595602.03909901,39203473.913869,default_profile,Default profile
resource_role_5_20,ROLE 5_20,0.905485418802742,31,35498173.99542204,39203473.913869,default_profile,Default profile
resource_role_5_21,ROLE 5_21,0.9246480572455126,32,36249415.9917341,39203473.913869,default_profile,Default profile
resource_role_5_22,ROLE 5_22,0.9216859010125695,32,36133289.177127115,39203473.913869,default_profile,Default profile
resource_role_5_23,ROLE 5_23,0.9209734406465013,32,36105358.2557513,39203473.913869,default_profile,Default profile
resource_role_5_24,ROLE 5_24,0.9190130457806347,32,36028503.96676641,39203473.913869,default_profile,Default profile
resource_role_5_25,ROLE 5_25,0.9143117277142768,32,35844195.96659115,39203473.913869,default_profile,Default profile
resource_role_5_26,ROLE 5_26,0.913611510291426,32,35816745.01112038,39203473.913869,default_profile,Default profile
resource_role_5_27,ROLE 5_27,0.9093531883674999,31,35649803.99865889,39203473.913869,default_profile,Default profile
resource_role_5_28,ROLE 5_28,0.9224739317368479,33,36164182.71906969,39203473.913869,default_profile,Default profile
resource_role_5_29,ROLE 5_29,0.9000200405033417,31,35283912.17983208,39203473.913869,default_profile,Default profile
resource_role_5_30,ROLE 5_30,0.9253509074014741,33,36276970.1594887,39203473.913869,default_profile,Default profile
resource_role_5_31,ROLE 5_31,0.8998863163246583,32,35278669.72748141,39203473.913869,default_profile,Default profile
resource_role_5_32,ROLE 5_32,0.9195765017983633,32,36050593.400059044,39203473.913869,default_profile,Default profile
resource_role_5_33,ROLE 5_33,0.917192610009602,31,35957136.560504854,39203473.913869,default_profile,Default profile
resource_role_5_34,ROLE 5_34,0.9204795771215999,32,36085997.08993581,39203473.913869,default_profile,Default profile
resource_role_5_35,ROLE 5_35,0.9213316472108394,32,36119401.1974521,39203473.913869,default_profile,Default profile
resource_role_5_36,ROLE 5_36,0.9272038077904974,33,36349610.29155477,39203473.913869,default_profile,Default profile
resource_role_5_37,ROLE 5_37,0.9107033046893137,32,35702733.2486618,39203473.913869,default_profile,Default profile
resource_role_5_38,ROLE 5_38,0.9125164650358148,32,35773815.43300752,39203473.913869,default_profile,Default profile
resource_role_5_39,ROLE 5_39,0.9058137968452066,31,35511047.55544369,39203473.913869,default_profile,Default profile
resource_role_5_40,ROLE 5_40,0.9120837763794278,31,35756852.53455403,39203473.913869,default_profile,Default profile
resource_role_5_41,ROLE 5_41,0.9252925748428383,31,36274683.32054789,39203473.913869,default_profile,Default profile
resource_role_5_42,ROLE 5_42,0.909931307402641,32,35672468.273172155,39203473.913869,default_profile,Default profile
resource_role_5_43,ROLE 5_43,0.9209100785198544,32,36102874.240272164,39203473.913869,default_profile,Default profile
resource_role_5_44,ROLE 5_44,0.914528680261862,31,35852701.26013095,39203473.913869,default_profile,Default profile
resource_role_5_45,ROLE 5_45,0.9130412206722385,32,35794387.67691121,39203473.913869,default_profile,Default profile
resource_role_5_46,ROLE 5_46,0.9113289445342682,31,35727260.50400295,39203473.913869,default_profile,Default profile
resource_role_5_47,ROLE 5_47,0.921112150491911,31,36110796.16355741,39203473.913869,default_profile,Default profile
resource_role_5_48,ROLE 5_48,0.9215121966801387,32,36126479.36386194,39203473.913869,default_profile,Default profile
resource_role_5_49,ROLE 5_49,0.9063407971727223,31,35531707.799036056,39203473.913869,default_profile,Default profile
resource_role_5_50,ROLE 5_50,0.9212363758461155,32,36115666.228990406,39203473.913869,default_profile,Default profile
resource_role_5_51,ROLE 5_51,0.9104888777887652,31,35694326.96925972,39203473.913869,default_profile,Default profile
resource_role_5_52,ROLE 5_52,0.9304506503581923,32,36476897.79945984,39203473.913869,default_profile,Default profile
resource_role_5_53,ROLE 5_53,0.9201373364077287,31,36072580.065037295,39203473.913869,default_profile,Default profile
resource_role_5_54,ROLE 5_54,0.9144282895474349,32,35848765.595376715,39203473.913869,default_profile,Default profile
resource_role_5_55,ROLE 5_55,0.9245437778826286,32,36245327.878451526,39203473.913869,default_profile,Default profile
resource_role_5_56,ROLE 5_56,0.9149602505088829,32,35869620.313052036,39203473.913869,default_profile,Default profile
resource_role_5_57,ROLE 5_57,0.9081695097735627,31,35603399.685779065,39203473.913869,default_profile,Default profile
resource_role_5_58,ROLE 5_58,0.9203253480150434,31,36079950.773180164,39203473.913869,default_profile,Default profile
resource_role_5_59,ROLE 5_59,0.899915635645267,31,35279819.146702066,39203473.913869,default_profile,Default profile
resource_role_5_60,ROLE 5_60,0.9063275058277016,31,35531186.732138254,39203473.913869,default_profile,Default profile
resource_role_5_61,ROLE 5_61,0.904430226343529,31,35456806.78537317,39203473.913869,default_profile,Default profile
resource_role_5_62,ROLE 5_62,0.9100735658436789,31,35678045.29825441,39203473.913869,default_profile,Default profile
resource_role_5_63,ROLE 5_63,0.9091991407325447,32,35643764.79622043,39203473.913869,default_profile,Default profile
resource_role_5_64,ROLE 5_64,0.9038048461553094,31,35432289.70947806,39203473.913869,default_profile,Default profile
resource_role_5_65,ROLE 5_65,0.9028734065400396,31,35395774.04081848,39203473.913869,default_profile,Default profile
resource_role_5_66,ROLE 5_66,0.9058823005271751,31,35513733.13775275,39203473.913869,default_profile,Default profile
resource_role_5_67,ROLE 5_67,0.8962397895627698,31,35135713.21069549,39203473.913869,default_profile,Default profile
resource_role_5_68,ROLE 5_68,0.9249694560614626,32,36262015.94183115,39203473.913869,default_profile,Default profile
resource_role_5_69,ROLE 5_69,0.9161574768958067,32,35916555.7464808,39203473.913869,default_profile,Default profile
resource_role_5_70,ROLE 5_70,0.9148713580227248,31,35866135.4187898,39203473.913869,default_profile,Default profile
resource_role_5_71,ROLE 5_71,0.9149920849587811,31,35870868.334078185,39203473.913869,default_profile,Default profile
resource_role_5_72,ROLE 5_72,0.9168576781223362,32,35944006.06699951,39203473.913869,default_profile,Default profile
resource_role_5_73,ROLE 5_73,0.8988268475464063,32,35237134.87087065,39203473.913869,default_profile,Default profile
resource_role_5_74,ROLE 5_74,0.9173383078503876,32,35962848.4220054,39203473.913869,default_profile,Default profile
resource_role_5_75,ROLE 5_75,0.891794910698668,31,34961458.518096365,39203473.913869,default_profile,Default profile
resource_role_5_76,ROLE 5_76,0.9141998478839096,32,35839809.88857986,39203473.913869,default_profile,Default profile
resource_role_5_77,ROLE 5_77,0.8988397495308574,31,35237640.67348152,39203473.913869,default_profile,Default profile
resource_role_5_78,ROLE 5_78,0.9133748338449618,32,35807466.47222539,39203473.913869,default_profile,Default profile
resource_role_5_79,ROLE 5_79,0.9166873035855077,32,35937326.79328936,39203473.913869,default_profile,Default profile
resource_role_5_80,ROLE 5_80,0.9056210896547938,31,35503492.76413133,39203473.913869,default_profile,Default profile
resource_role_5_81,ROLE 5_81,0.9237277774336088,32,36213337.826134674,39203473.913869,default_profile,Default profile
resource_role_5_82,ROLE 5_82,0.8986192771831698,31,35228997.39155021,39203473.913869,default_profile,Default profile
resource_role_5_83,ROLE 5_83,0.9003843145708283,31,35298192.98873429,39203473.913869,default_profile,Default profile
resource_role_5_84,ROLE 5_84,0.8985500933070748,31,35226285.143268466,39203473.913869,default_profile,Default profile
resource_role_5_85,ROLE 5_85,0.9104915528713229,32,35694431.841788985,39203473.913869,default_profile,Default profile
resource_role_5_86,ROLE 5_86,0.9144766269248644,33,35850660.588491835,39203473.913869,default_profile,Default profile
resource_role_5_87,ROLE 5_87,0.9188576413420275,31,36022411.572911374,39203473.913869,default_profile,Default profile
resource_role_5_88,ROLE 5_88,0.9162383646138744,32,35919726.82602602,39203473.913869,default_profile,Default profile
resource_role_5_89,ROLE 5_89,0.9176571656796622,32,35975348.7565976,39203473.913869,default_profile,Default profile
resource_role_5_90,ROLE 5_90,0.8994119249513939,32,35260071.937654674,39203473.913869,default_profile,Default profile
resource_role_5_91,ROLE 5_91,0.897993475080496,31,35204463.7751428,39203473.913869,default_profile,Default profile
resource_role_5_92,ROLE 5_92,0.9050043970018294,30,35479316.269797966,39203473.913869,default_profile,Default profile
resource_role_5_93,ROLE 5_93,0.9061802481913228,31,35525413.72123186,39203473.913869,default_profile,Default profile
resource_role_5_94,ROLE 5_94,0.8999946713567869,30,35282917.6211569,39203473.913869,default_profile,Default profile
resource_role_5_95,ROLE 5_95,0.9096531407603089,32,35661563.174465775,39203473.913869,default_profile,Default profile
resource_role_5_96,ROLE 5_96,0.90014337973594,31,35288747.506219804,39203473.913869,default_profile,Default profile
resource_role_5_97,ROLE 5_97,0.8990329349201079,31,35245214.21184954,39203473.913869,default_profile,Default profile
resource_role_5_98,ROLE 5_98,0.9193308372704992,32,36040962.49714936,39203473.913869,default_profile,Default profile
resource_role_5_99,ROLE 5_99,0.9079739768832592,32,35595734.11721475,39203473.913869,default_profile,Default profile
resource_role_5_100,ROLE 5_100,0.9052015887226212,32,35487046.87028006,39203473.913869,default_profile,Default profile
resource_role_5_101,ROLE 5_101,0.9082022047894084,31,35604681.44397988,39203473.913869,default_profile,Default profile
resource_role_5_102,ROLE 5_102,0.8963082355702092,32,35138396.53196265,39203473.913869,default_profile,Default profile
resource_role_5_103,ROLE 5_103,0.9142959176485332,31,35843576.15709119,39203473.913869,default_profile,Default profile
resource_role_5_104,ROLE 5_104,0.916400163243859,32,35926069.89439592,39203473.913869,default_profile,Default profile
