Index,Token ID,Element,Action,Relative Time,Absolute Time
1230, 044,Parallel Gateway Split,Leave,14601725,03/01/2008
1231, 044,Record Goods Receipt,Enter,14601725,03/01/2008
1232, 046,START EVENT,Enter,14782190,03/01/2008
1233, 046,START EVENT,Leave,14782190,03/01/2008
1234, 046,Exclusive Gateway Split 1,Enter,14782190,03/01/2008
1235, 046,Exclusive Gateway Split 1,Leave,14782190,03/01/2008
1236, 046,Create Purchase Order,Enter,14782190,03/01/2008
1237, 041,Record Invoice Receipt,Leave,14868003,03/01/2008
1238, 041,Parallel Gateway Join,Enter,14868003,03/01/2008
1239, 046,Create Purchase Order,Leave,14899803,03/01/2008
1240, 046,Exclusive Gateway Split 2,Enter,14899803,03/01/2008
1241, 046,Exclusive Gateway Split 2,Leave,14899803,03/01/2008
1242, 046,Print and Send Purchase Order (Paper),Enter,14899803,03/01/2008
1243, 046,Print and Send Purchase Order (Paper),Leave,14899808,03/01/2008
1244, 046,Exclusive Gateway Split 3,Enter,14899808,03/01/2008
1245, 046,Exclusive Gateway Split 3,Leave,14899808,03/01/2008
1246, 046,Receive Order Confirmation,Enter,14899808,03/01/2008
1247, 042,Record Goods Receipt,Leave,14906719,03/01/2008
1248, 042,Parallel Gateway Join,Enter,14906719,03/01/2008
1249, 045,Receive Order Confirmation,Leave,14928813,03/01/2008
1250, 045,Parallel Gateway Split,Enter,14928813,03/01/2008
1251, 045,Parallel Gateway Split,Leave,14928813,03/01/2008
1252, 045,Record Invoice Receipt,Enter,14928813,03/01/2008
1253, 045,Parallel Gateway Split,Leave,14928813,03/01/2008
1254, 045,Record Goods Receipt,Enter,14928813,03/01/2008
1255, 041,Record Goods Receipt,Leave,14984726,03/01/2008
1256, 041,Parallel Gateway Join,Enter,14984726,03/01/2008
1257, 041,Parallel Gateway Join,Leave,14984726,03/01/2008
1258, 041,Clear Invoice,Enter,14984726,03/01/2008
1259, 040,Clear Invoice,Leave,14994406,03/01/2008
1260, 040,END EVENT,Enter,14994406,03/01/2008
